Fecha,Visita,Local,Apuesta_A,Cuota,Casa_Apuestas,Inversion_COP,Ganancia_Potencial_COP,Prob_IA_%,Estado,Beneficio_Neto
2026-05-21,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-21,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-21,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-21,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-21,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-22,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-22,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-22,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-22,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-22,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-23,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-23,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-23,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-23,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-23,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-24,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-24,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-24,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-24,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-24,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-25,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-25,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-25,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-25,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-25,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-26,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-26,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-26,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-26,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-26,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-27,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-27,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-27,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-27,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-27,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
